id	name	region	coordinates	boundary_geometry	time_period_start	time_period_end	time_period_label	subsistence_pattern	pottery_style	burial_practices	material_culture_traits	probable_language_family	probable_haplogroups	predecessor_culture_ids	successor_culture_ids	confidence	sources	description
natufian	Natufian	Levant	{"lat":31.8,"lng":35.2}	{"type":"Polygon","coordinates":[[[34.0,30.5],[36.5,30.5],[36.5,33.5],[34.0,33.5],[34.0,30.5]]]}	-12500	-9500	12500-9500 BCE	hunting-gathering with early cultivation	none	flexed burials with grave goods	stone tools, sickle blades, mortars	Afroasiatic (speculative)	["E1b1b","J1"]	[]	["ppna"]	85	["Bar-Yosef 1998","Belfer-Cohen & Bar-Yosef 2000"]	Semi-sedentary hunter-gatherers of the Levant, among the earliest to cultivate wild cereals.
ppna	Pre-Pottery Neolithic A	Levant	{"lat":31.9,"lng":35.4}	{"type":"Polygon","coordinates":[[[34.0,30.0],[37.0,30.0],[37.0,34.0],[34.0,34.0],[34.0,30.0]]]}	-9500	-8500	9500-8500 BCE	early agriculture	none	skulls plastered and decorated	monumental architecture, early cultivation	Afroasiatic (speculative)	["J1","J2"]	["natufian"]	["ppnb"]	80	["Kenyon 1957","Kuijt & Goring-Morris 2002"]	Earliest Neolithic culture in the Levant with monumental architecture at Jericho.
ppnb	Pre-Pottery Neolithic B	Levant and Anatolia	{"lat":33.0,"lng":36.0}	{"type":"Polygon","coordinates":[[[33.0,29.0],[42.0,29.0],[42.0,38.0],[33.0,38.0],[33.0,29.0]]]}	-8500	-7000	8500-7000 BCE	agriculture and herding	none	skull removal and plastering	rectangular mud-brick houses, long-distance obsidian trade	unknown	["J2","G2a"]	["ppna"]	["pottery-neolithic"]	80	["Rollefson 1989","Cauvin 2000"]	Expansion of farming communities across the Fertile Crescent with long-distance trade networks.
catalhoyuk	Catalhoyuk Culture	Central Anatolia	{"lat":37.67,"lng":32.83}	{"type":"Polygon","coordinates":[[[31.0,36.5],[34.5,36.5],[34.5,38.5],[31.0,38.5],[31.0,36.5]]]}	-7500	-5700	7500-5700 BCE	agriculture and herding	early painted pottery	intramural burials beneath floors	wall paintings, bull symbolism, obsidian tools	unknown	["G2a","J2"]	["ppnb"]	[]	85	["Hodder 2006","Mellaart 1967"]	One of the earliest proto-urban settlements with rich symbolic art and dense habitation.
yangshao	Yangshao	Yellow River, China	{"lat":34.5,"lng":109.0}	{"type":"Polygon","coordinates":[[[104.0,33.0],[113.0,33.0],[113.0,37.0],[104.0,37.0],[104.0,33.0]]]}	-5000	-3000	5000-3000 BCE	millet agriculture	painted pottery with geometric designs	urn burials for children	painted ceramics, stone tools, silk production	Sino-Tibetan (speculative)	["O2"]	[]	["longshan"]	75	["Liu & Chen 2012","Chang 1986"]	Major Neolithic culture of northern China known for distinctive painted pottery.
longshan	Longshan	Eastern China	{"lat":36.5,"lng":117.0}	{"type":"Polygon","coordinates":[[[114.0,34.0],[121.0,34.0],[121.0,38.0],[114.0,38.0],[114.0,34.0]]]}	-3000	-1900	3000-1900 BCE	intensive agriculture	black burnished pottery (eggshell ware)	stratified burials indicating social hierarchy	walled settlements, jade working, scapulimancy	Sino-Tibetan (speculative)	["O2"]	["yangshao"]	[]	75	["Underhill 2002","Liu & Chen 2012"]	Late Neolithic culture showing early social stratification and proto-urban development.
vincha	Vinca	Balkans	{"lat":44.7,"lng":20.6}	{"type":"Polygon","coordinates":[[[18.0,42.0],[24.0,42.0],[24.0,46.0],[18.0,46.0],[18.0,42.0]]]}	-5500	-4500	5500-4500 BCE	agriculture	dark burnished pottery with incised designs	contracted burials	Vinca symbols (possible proto-writing), copper smelting, figurines	Pre-Indo-European	["I2a","G2a"]	[]	["cucuteni-trypillia"]	80	["Chapman 1981","Whittle 1996"]	Major Neolithic-Chalcolithic culture of southeastern Europe with early copper metallurgy and enigmatic symbols.
cucuteni-trypillia	Cucuteni-Trypillia	Romania-Ukraine	{"lat":47.5,"lng":28.0}	{"type":"Polygon","coordinates":[[[24.0,45.0],[33.0,45.0],[33.0,50.0],[24.0,50.0],[24.0,45.0]]]}	-5500	-2750	5500-2750 BCE	agriculture	elaborate painted pottery	unknown burial practices	mega-settlements (up to 15,000 people), ritual house burning, figurines	Pre-Indo-European	["I2a","G2a","E1b1b"]	["vincha"]	[]	80	["Anthony 2007","Videiko 1996"]	Created some of the largest settlements in the world at the time, with elaborate painted ceramics.
yamnaya	Yamnaya	Pontic-Caspian Steppe	{"lat":47.0,"lng":38.0}	{"type":"Polygon","coordinates":[[[30.0,44.0],[50.0,44.0],[50.0,52.0],[30.0,52.0],[30.0,44.0]]]}	-3300	-2600	3300-2600 BCE	pastoral nomadism	simple coarse pottery	pit graves (kurgan burials) with ochre	wagons, horse domestication, kurgan burials	Proto-Indo-European	["R1b","R1a"]	[]	["corded-ware","bell-beaker"]	90	["Anthony 2007","Haak et al. 2015"]	Steppe pastoralists strongly associated with the spread of Proto-Indo-European languages across Europe.
corded-ware	Corded Ware	Northern and Central Europe	{"lat":52.0,"lng":15.0}	{"type":"Polygon","coordinates":[[[5.0,47.0],[30.0,47.0],[30.0,58.0],[5.0,58.0],[5.0,47.0]]]}	-2900	-2350	2900-2350 BCE	mixed farming and herding	cord-impressed pottery	single burials with battle axes	battle axes, cord-decorated beakers, single-grave tradition	Indo-European (Balto-Slavic/Germanic ancestors)	["R1a","R1b"]	["yamnaya"]	[]	85	["Kristiansen 2005","Furholt 2014"]	Widespread European culture linked to Indo-European expansion from the steppe.
