id	name	native_name	time_period_start	time_period_end	time_period_label	associated_language_ids	writing_systems	political_structure	capital	population	haplogroup_ids	cuisine_id	sources	description
roman-empire	Roman Empire	Imperium Romanum	-27	476	Roman Empire (27 BCE - 476 CE)	["latin"]	["Latin alphabet"]	Empire	Rome	60000000	["R1b","J2","E1b1b"]	roman	["Historical records","Archaeological evidence"]	Ancient Roman civilization centered on the Mediterranean
ancient-greece	Ancient Greece	Ἑλλάς	-800	-146	Classical Greece (800-146 BCE)	["ancient-greek"]	["Greek alphabet"]	City-states	Athens	8000000	["J2","E1b1b","R1b"]	greek	["Ancient texts","Archaeological sites"]	Collection of Greek city-states in classical antiquity
sumerian	Sumer	𒆠𒂗𒄀	-4500	-1900	Sumer (4500-1900 BCE)	["sux"]	["Cuneiform"]	City-states	Ur	500000	["J1","J2"]		["Archaeological evidence","Cuneiform tablets"]	The earliest known civilization in southern Mesopotamia, credited with the invention of writing, the wheel, and early urban society
akkadian-empire	Akkadian Empire		-2334	-2154	Akkadian Empire (2334-2154 BCE)	["akk"]	["Cuneiform"]	Empire	Akkad	1000000	["J1","J2"]		["Cuneiform records","Archaeological evidence"]	First empire in Mesopotamia, uniting Sumerian and Akkadian-speaking peoples under Sargon of Akkad
babylonian-empire	Babylonian Empire		-1894	-539	Babylonian Empire (1894-539 BCE)	["akk"]	["Cuneiform"]	Empire	Babylon	1500000	["J1","J2"]		["Cuneiform tablets","Historical records"]	Mesopotamian civilization centered on Babylon, known for Hammurabi's code of laws and advances in astronomy and mathematics
assyrian-empire	Assyrian Empire		-2500	-609	Assyrian Empire (2500-609 BCE)	["akk"]	["Cuneiform"]	Empire	Nineveh	4000000	["J1","J2"]		["Cuneiform records","Archaeological excavations"]	Powerful Mesopotamian empire known for its military prowess, vast library at Nineveh, and monumental architecture
ancient-egypt	Ancient Egypt	kmt	-3100	-30	Ancient Egypt (3100-30 BCE)	["egy"]	["Hieroglyphs"]	Pharaonic kingdom	Memphis/Thebes	5000000	["E1b1b1a","J1"]		["Hieroglyphic texts","Archaeological evidence"]	One of the longest-lasting civilizations in history, known for pyramids, pharaohs, and advances in writing, medicine, and architecture
persian-empire	Persian Empire (Achaemenid)		-550	-330	Achaemenid Persian Empire (550-330 BCE)	["peo"]	["Old Persian cuneiform"]	Empire	Persepolis	35000000	["J2","R1a"]	iranian	["Historical records","Inscriptions at Persepolis"]	The largest empire of the ancient world, spanning from Egypt to India, known for its tolerance, infrastructure, and administrative innovation
maurya-empire	Maurya Empire		-322	-185	Maurya Empire (322-185 BCE)	["san"]	["Brahmi"]	Empire	Pataliputra	50000000	["H","R1a","L"]	indian	["Arthashastra","Ashoka's edicts"]	First empire to unify most of the Indian subcontinent, known for Emperor Ashoka's promotion of Buddhism and nonviolence
gupta-empire	Gupta Empire		320	550	Gupta Empire (320-550 CE)	["san"]	["Gupta script"]	Empire	Pataliputra	35000000	["H","R1a"]	indian	["Sanskrit texts","Archaeological evidence"]	Golden age of India marked by extraordinary achievements in science, mathematics, astronomy, art, and literature
han-dynasty	Han Dynasty	漢朝	-206	220	Han Dynasty (206 BCE - 220 CE)	["cmn"]	["Chinese characters"]	Empire	Chang'an	60000000	["O3","O2"]	chinese	["Historical records","Sima Qian's Records"]	One of China's golden ages, establishing the Silk Road, civil service examinations, and Confucianism as state ideology
tang-dynasty	Tang Dynasty	唐朝	618	907	Tang Dynasty (618-907 CE)	["cmn"]	["Chinese characters"]	Empire	Chang'an	80000000	["O3","O2"]	chinese	["Historical records","Tang poetry collections"]	Widely regarded as a high point in Chinese civilization and a golden age of cosmopolitan culture, poetry, and trade
mongol-empire	Mongol Empire	Их Монгол Улс	1206	1368	Mongol Empire (1206-1368 CE)	["tur"]	["Uyghur script","Chinese characters"]	Empire	Karakorum	110000000	["C2","O3"]		["The Secret History of the Mongols","Historical records"]	Largest contiguous land empire in history, founded by Genghis Khan, connecting East and West through trade and conquest
ottoman-empire	Ottoman Empire	دولت عليه عثمانیه	1299	1922	Ottoman Empire (1299-1922 CE)	["tur"]	["Ottoman script"]	Empire	Istanbul	35000000	["J2","R1b","E1b1b1a"]	turkish	["Ottoman archives","Historical records"]	Multi-ethnic empire spanning Southeast Europe, Western Asia, and North Africa for over six centuries
byzantine-empire	Byzantine Empire	Βασιλεία Ῥωμαίων	330	1453	Byzantine Empire (330-1453 CE)	["grc"]	["Greek alphabet"]	Empire	Constantinople	26000000	["J2","R1b","E1b1b1a"]	greek	["Byzantine chronicles","Archaeological evidence"]	Eastern continuation of the Roman Empire, preserving Greek culture, Roman law, and Orthodox Christianity for over a millennium
hre	Holy Roman Empire	Heiliges Römisches Reich	800	1806	Holy Roman Empire (800-1806 CE)	["deu"]	["Latin alphabet"]	Federation	varies	30000000	["R1b","I1","R1a"]	german	["Imperial records","Historical documents"]	Complex multi-ethnic political entity in Central Europe, serving as the political framework for German-speaking lands for a millennium
aztec-empire	Aztec Empire	Ēxcān Tlahtōlōyān	1428	1521	Aztec Empire (1428-1521 CE)	["nah"]	["Aztec pictographs"]	Triple Alliance	Tenochtitlan	11000000	["Q1"]	mexican	["Codices","Spanish conquest accounts"]	Mesoamerican civilization known for its monumental architecture, complex calendar systems, and advanced agricultural techniques
