id	name	native_name	region	coordinates	time_origin	time_end	associated_language_ids	dance_type	associated_music_tradition_ids	costumes	key_movements	cultural_significance	description	sources
bharatanatyam	Bharatanatyam	भरतनाट्यम्	South Asia	{"lat":13.08,"lng":80.27}	-200	null	["tamil","sanskrit"]	classical	["indian-classical"]	["silk saree","temple jewelry","ankle bells"]	["adavu","aramandi","nritta","abhinaya"]	Temple dance tradition, one of eight Indian classical dances	Ancient Tamil Nadu temple dance combining nritta (pure dance), nritya (expression), and natya (drama)	["Natya Shastra","UNESCO"]
flamenco-dance	Flamenco Dance	Baile flamenco	Southern Europe	{"lat":37.39,"lng":-5.98}	1500	null	["spanish","romani"]	folk	["flamenco"]	["bata de cola dress","mantón de manila","castanets"]	["zapateado","braceo","floreo","taconeo"]	Symbol of Andalusian identity blending Romani, Moorish, and Spanish culture	Passionate Andalusian dance featuring percussive footwork (zapateado) and expressive arm movements	["UNESCO Intangible Cultural Heritage","Historical records"]
capoeira	Capoeira	Capoeira	South America	{"lat":-12.97,"lng":-38.51}	1600	null	["portuguese"]	martial	[]	["white abadá pants","cord belt"]	["ginga","meia lua","armada","aú","queixada"]	Afro-Brazilian martial art disguised as dance, created by enslaved Africans	Afro-Brazilian art form combining dance, acrobatics, and music in a circle (roda)	["UNESCO Intangible Cultural Heritage"]
haka	Haka	Haka	Oceania	{"lat":-38.14,"lng":176.24}	1300	null	["maori"]	ceremonial	[]	["piupiu skirt","traditional tā moko"]	["pūkana","whatero","stomping","chest beating","thigh slapping"]	Māori ceremonial war dance expressing tribal identity and unity	Māori posture dance with vigorous body movements, chanting, and facial expressions	["Māori oral tradition","UNESCO"]
kathak	Kathak	कथक	South Asia	{"lat":26.85,"lng":80.91}	-400	null	["hindi","urdu","sanskrit"]	classical	["indian-classical"]	["ghagra choli","ankle bells","churidar"]	["tatkar","chakkar","tukra","toda","abhinaya"]	North Indian storytelling dance blending Hindu and Mughal traditions	North Indian classical dance emphasizing rhythmic footwork and spinning	["Natya Shastra","Abhinaya Darpana"]
samba	Samba	Samba	South America	{"lat":-22.91,"lng":-43.17}	1838	null	["portuguese"]	social	[]	["carnival costume","sequined bikini","feathered headdress"]	["samba no pé","miudinho","lateral movement"]	Iconic Brazilian carnival dance symbolizing national identity	Brazilian partner and solo dance with rapid hip movements and rhythmic footwork	["UNESCO Intangible Cultural Heritage"]
ballet	Ballet	Ballet	Western Europe	{"lat":48.86,"lng":2.35}	1500	null	["french","italian"]	classical	[]	["tutu","pointe shoes","leotard","tights"]	["plié","tendu","relevé","pirouette","grand jeté","arabesque"]	Foundational Western theatrical dance form	Italian-origin French-codified theatrical dance characterized by precise technique and ethereal movement	["Historical records"]
tango	Tango	Tango	South America	{"lat":-34.60,"lng":-58.38}	1880	null	["spanish"]	social	[]	["tango dress with slit","tango shoes"]	["caminata","ocho","gancho","boleo","sacada"]	Argentine-Uruguayan partner dance expressing passion and melancholy	Intimate partner dance from Buenos Aires with close embrace and improvisational interplay	["UNESCO Intangible Cultural Heritage"]
kathakali	Kathakali	കഥകളി	South Asia	{"lat":10.85,"lng":76.27}	1600	null	["malayalam","sanskrit"]	classical	["indian-classical"]	["elaborate face paint","kireedam crown","heavy skirts"]	["navarasas","mudras","eye movements","footwork"]	Kerala dance-drama depicting Hindu mythological epics	South Indian classical dance-drama known for elaborate makeup, costumes, and facial expressions	["Historical records"]
butoh	Butoh	舞踏	East Asia	{"lat":35.68,"lng":139.69}	1959	null	["japanese"]	contemporary	[]	["white body paint","minimal or nude"]	["slow movement","contorted postures","floor work"]	Japanese avant-garde dance born from post-WWII trauma	Japanese avant-garde dance exploring taboo topics through slow, controlled, often grotesque movement	["Dance scholarship"]
whirling-dervish	Whirling Dervish	Sema	Middle East	{"lat":37.87,"lng":32.48}	1273	null	["turkish","persian"]	spiritual	["sufi"]	["white tennure robe","sikke hat","black hirka cloak"]	["continuous spinning","arms outstretched","head tilted"]	Sufi spiritual practice seeking divine union through ecstatic spinning	Mevlevi Sufi ritual dance of continuous spinning representing spiritual ascent	["UNESCO Intangible Cultural Heritage","Rumi writings"]
irish-step	Irish Step Dance	Rince Gaelach	Western Europe	{"lat":53.35,"lng":-6.26}	1750	null	["irish"]	folk	["celtic"]	["embroidered dress","ghillies or hard shoes"]	["treble jig","reel steps","rigid upper body","rapid footwork"]	Celtic percussive dance tradition with rigid torso and rapid leg movements	Irish dance emphasizing intricate footwork while keeping the upper body still	["Historical records","Oral tradition"]
