id	name	route_type	waypoints	start_date	end_date	traded_goods	key_cities	controlling_powers	associated_languages	description	economic_impact
tr-001	Silk Road	land	{"type":"LineString","coordinates":[[108.94,34.26],[105,36],[95,38],[85,40],[75,39],[68,39],[60,37],[52,35],[45,38],[40,38],[35,37],[30,40],[28,41]]}	-200	1450	["tg-001","tg-006","tg-007","tg-009","tg-015","tg-018","tg-019","tg-020","tg-021","tg-023","tg-024","tg-025","tg-033","tg-038","tg-044","tg-045"]	["Chang'an","Dunhuang","Samarkand","Bukhara","Merv","Baghdad","Constantinople"]	["Han Dynasty","Kushan Empire","Sassanid Empire","Tang Dynasty","Mongol Empire"]	["cmn","tur","uzb","kaz","fas","arb","grc"]	The ancient overland network connecting East Asia to the Mediterranean, facilitating exchange of silk, spices, precious metals, and ideas across civilizations	Largest pre-modern trade network; enabled cultural diffusion of Buddhism, Islam, and Christianity; transmitted technologies like papermaking and gunpowder; generated enormous wealth for intermediary kingdoms
tr-002	Maritime Spice Route	maritime	{"type":"LineString","coordinates":[[73,15],[78,10],[82,8],[88,15],[92,20],[96,15],[100,5],[104,2],[108,0],[112,-5],[115,-7],[120,-8],[125,-5],[130,0]]}	-300	1700	["tg-002","tg-003","tg-004","tg-005","tg-025","tg-026","tg-028","tg-029","tg-032","tg-043"]	["Calicut","Malacca","Goa","Cochin","Ternate","Banda"]	["Chola Dynasty","Srivijaya","Majapahit","Portuguese Empire","Dutch VOC"]	["tam","mal","msa","por","nld","arb"]	Maritime routes connecting South Asia and Southeast Asia to the Spice Islands, carrying cloves, nutmeg, pepper, and cinnamon	Primary motivation for European Age of Exploration; spice monopolies generated extraordinary profits; drove colonial competition between Portugal, Netherlands, and England
tr-003	Trans-Saharan Gold-Salt Trade	land	{"type":"LineString","coordinates":[[3,36],[2,32],[0,28],[-2,24],[-4,20],[-6,16],[-8,14],[-6,12],[-4,10],[0,12],[2,14]]}	-500	1800	["tg-006","tg-014","tg-013","tg-030","tg-033","tg-037"]	["Timbuktu","Djenne","Gao","Sijilmasa","Taghaza","Kumbi Saleh"]	["Ghana Empire","Mali Empire","Songhai Empire","Almoravids"]	["arb","hau","bam","tmh","ber"]	Caravan routes crossing the Sahara Desert linking North Africa with West Africa, exchanging gold and salt as primary commodities	Created some of the wealthiest empires in medieval world; Mansa Musa's gold reportedly destabilized Mediterranean gold prices; enabled spread of Islam to West Africa
tr-004	Amber Road	land	{"type":"LineString","coordinates":[[20.51,54.70],[18,52],[17,50],[16,48],[15,47],[14,46],[13,45],[12.50,41.90]]}	-3000	500	["tg-010","tg-008","tg-019","tg-036"]	["Gdansk","Wroclaw","Prague","Vienna","Aquileia","Rome"]	["Roman Empire","Celtic tribes","Germanic peoples"]	["lat","got","goh","lit","lav"]	Ancient trade route connecting Baltic amber sources to Mediterranean markets, also carrying tin and other northern goods southward	Established one of Europe's earliest long-distance trade corridors; amber found in Egyptian and Mycenaean tombs proves antiquity of network
tr-005	Incense Route	land	{"type":"LineString","coordinates":[[54.09,17.02],[50,15],[48,18],[46,20],[44,22],[42,24],[40,28],[38,30],[36,32],[35.22,31.78]]}	-1000	200	["tg-011","tg-012","tg-025"]	["Shabwa","Ma'rib","Petra","Gaza","Alexandria"]	["Sabaean Kingdom","Nabataean Kingdom","Roman Empire"]	["arb","lat","grc"]	Overland route carrying frankincense and myrrh from southern Arabia through the Nabataean kingdom to Mediterranean ports	Generated enormous wealth for Arabian kingdoms; Nabataean city of Petra became one of the ancient world's richest trading cities; frankincense worth its weight in gold
tr-006	Phoenician Mediterranean Network	maritime	{"type":"LineString","coordinates":[[35.50,33.90],[33,35],[30,36],[25,37],[20,38],[15,37],[10,38],[5,37],[2.17,41.39],[0,36],[-5,36],[-8,35],[-10,35]]}	-1200	-300	["tg-022","tg-008","tg-009","tg-014","tg-035","tg-036","tg-007"]	["Tyre","Sidon","Byblos","Carthage","Cadiz","Leptis Magna"]	["Phoenicia","Carthage"]	["phn","grc","lat"]	Phoenician maritime trading network spanning the entire Mediterranean from Tyre to the Strait of Gibraltar, establishing colonies and trading posts	Spread the Phoenician alphabet (ancestor of Greek, Latin, and Arabic scripts); Carthage became dominant western Mediterranean power; established template for maritime commercial empires
tr-007	Viking Eastern Trade Route	river	{"type":"LineString","coordinates":[[18,59],[20,58],[24,57],[28,56],[30,55],[33,53],[36,50],[40,48],[42,45],[44,42],[48,40]]}	800	1100	["tg-031","tg-010","tg-030","tg-019","tg-006","tg-007"]	["Birka","Novgorod","Kiev","Constantinople","Baghdad"]	["Varangians","Kievan Rus"]	["non","rus","arb","grc"]	Norse trade route from Scandinavia through Russian rivers to Constantinople and the Caspian, exchanging furs, amber, and slaves for silver and silk	Foundation of Kievan Rus state; brought enormous quantities of Islamic silver to Scandinavia; connected Nordic and Byzantine/Islamic economic spheres
tr-008	Portuguese Cape Route	maritime	{"type":"LineString","coordinates":[[-9,39],[-15,33],[-18,25],[-17,15],[-10,5],[0,0],[5,-5],[10,-15],[15,-25],[20,-33],[25,-34],[30,-30],[35,-25],[40,-15],[48,0],[55,10],[65,15],[73,15]]}	1498	1600	["tg-002","tg-003","tg-004","tg-005","tg-006","tg-021","tg-028","tg-032"]	["Lisbon","Sao Tome","Mozambique","Goa","Malacca","Macau"]	["Portuguese Empire"]	["por","msa","swa","mal","cmn"]	Vasco da Gama's sea route around Africa to India, bypassing overland intermediaries and establishing direct European maritime trade with Asia	Disrupted centuries-old Arab-Indian Ocean trade networks; established Portuguese maritime empire; enabled direct European access to Asian spice markets at fraction of overland cost
tr-009	Arab Indian Ocean Network	maritime	{"type":"LineString","coordinates":[[45,22],[48,20],[50,18],[52,15],[54,12],[55,8],[52,5],[50,0],[48,-5],[45,-8],[42,-10],[40,-12]]}	700	1500	["tg-011","tg-012","tg-013","tg-025","tg-030","tg-037","tg-002","tg-003","tg-016"]	["Aden","Muscat","Hormuz","Kilwa","Zanzibar","Mogadishu","Mombasa"]	["Abbasid Caliphate","Omani traders","Swahili city-states"]	["arb","swa","fas"]	Arab dhow-based trading network connecting Arabian Peninsula, Persian Gulf, East African coast, and western Indian Ocean	Spread Islam to East Africa; created Swahili language and culture through Arab-Bantu contact; cowrie shells became currency across Africa; established Indian Ocean as interconnected economic zone
tr-010	Malay Archipelago Trade	maritime	{"type":"LineString","coordinates":[[100,3],[103,1],[105,0],[107,-2],[110,-5],[112,-7],[115,-8],[118,-5],[120,0],[122,5],[125,8]]}	100	1500	["tg-004","tg-005","tg-021","tg-024","tg-028","tg-029","tg-034","tg-037"]	["Malacca","Palembang","Srivijaya","Majapahit","Makassar","Manila"]	["Srivijaya","Majapahit","Sultanate of Malacca"]	["msa","jav","ind","cmn","tam"]	Maritime trade networks throughout the Malay Archipelago connecting India, China, and the Spice Islands via entrepot ports	Malacca became the richest port in Southeast Asia; spread of Hinduism, Buddhism, then Islam to the region; Malay became the lingua franca of maritime Southeast Asia
tr-011	Atlantic Slave Trade Triangle	maritime	{"type":"LineString","coordinates":[[-5,50],[-10,45],[-15,38],[-18,25],[-15,10],[-10,5],[-5,5],[0,5],[5,5],[-20,8],[-35,0],[-50,-10],[-60,10],[-75,20],[-80,30],[-70,40],[-50,48],[-20,50],[-5,50]]}	1526	1867	["tg-017","tg-030","tg-040","tg-041","tg-027","tg-039"]	["Liverpool","Nantes","Luanda","Elmina","Kingston","Havana","Salvador","Charleston"]	["British Empire","Portuguese Empire","Spanish Empire","French Empire","Dutch Republic"]	["eng","por","spa","fra","yor","ibo","hau","nld"]	Triangular trade carrying manufactured goods to Africa, enslaved people to the Americas, and sugar/tobacco/cotton back to Europe	Forcibly transported 12+ million Africans; generated enormous wealth for European economies; created plantation economies in Americas; produced creole languages and diaspora cultures
tr-012	European Atlantic Commerce	maritime	{"type":"LineString","coordinates":[[-10,38],[-15,35],[-20,30],[-30,15],[-40,0],[-50,-10],[-60,-20],[-65,-25],[-70,-33],[-75,10],[-80,25]]}	1492	1800	["tg-007","tg-015","tg-016","tg-017","tg-039","tg-040","tg-041","tg-042"]	["Seville","Cadiz","Lisbon","Veracruz","Havana","Lima","Potosi","Rio de Janeiro"]	["Spanish Empire","Portuguese Empire","British Empire"]	["spa","por","eng","fra","nld"]	Transatlantic commercial routes connecting Europe with the Americas, carrying silver, sugar, tobacco, and colonial products	Spanish silver from Potosi transformed global economy; Columbian Exchange reshaped agriculture worldwide; created first truly global economic system
tr-013	Hanseatic League Network	maritime	{"type":"LineString","coordinates":[[10,53.55],[12,54],[13.40,52.52],[14,54.30],[18,54.35],[20,59.33],[24.94,60.17],[18.07,59.33],[10.75,59.91],[5.32,60.39]]}	1200	1669	["tg-031","tg-010","tg-019","tg-014","tg-036","tg-008"]	["Lubeck","Hamburg","Bremen","Bruges","Bergen","Novgorod","Danzig","Riga"]	["Hanseatic League"]	["gml","deu","nld","swe","dan","rus"]	Northern European merchant confederation controlling Baltic and North Sea trade in furs, amber, fish, grain, and timber	Dominated northern European commerce for centuries; established commercial law precedents; Lubeck became one of Europe's wealthiest cities; proto-capitalist trading organization
tr-014	Indian Ocean Monsoon Route	maritime	{"type":"LineString","coordinates":[[50,25],[55,20],[60,15],[65,13],[70,15],[75,10],[78,8],[80,7]]}	-300	1500	["tg-002","tg-003","tg-018","tg-025","tg-026","tg-027","tg-028","tg-032","tg-042","tg-045"]	["Muscat","Hormuz","Cambay","Calicut","Quilon"]	["Sassanid Empire","Gupta Empire","Chola Dynasty"]	["arb","fas","hin","tam","mal"]	Ancient monsoon-driven trade route connecting Arabia and Persia to India's western coast, leveraging seasonal winds for reliable passage	Hippalus's discovery of monsoon wind patterns revolutionized Indian Ocean trade; enabled regular direct sailing between Arabia and India; carried bulk commodities as well as luxuries
tr-015	Grand Trunk Road	land	{"type":"LineString","coordinates":[[67.01,24.86],[67.5,25.4],[68.37,25.38],[71.69,29.38],[74.87,31.63],[77.21,28.61],[80.95,26.85],[83.00,25.32],[85.14,25.61],[88.36,22.57],[91.78,26.18]]}	-300	1900	["tg-002","tg-018","tg-020","tg-026","tg-027","tg-032","tg-044"]	["Kabul","Peshawar","Lahore","Delhi","Agra","Varanasi","Kolkata"]	["Maurya Empire","Mughal Empire","British Raj"]	["hin","urd","ben","pus","fas"]	One of Asia's oldest and longest trade roads spanning the Indian subcontinent from Kabul to Kolkata, serving as the backbone of South Asian overland trade	Kipling called it "the backbone of all Hind"; facilitated movement of armies, merchants, and pilgrims for over 2000 years; connected Indian Ocean trade to Central Asian networks
tr-016	Tea Horse Road	land	{"type":"LineString","coordinates":[[104.07,30.57],[102,30],[100,28],[99,27],[98,26],[97,25],[96,24],[95,23],[94,22],[92,28],[90,30],[88,29],[86,28]]}	600	1950	["tg-015","tg-020"]	["Chengdu","Ya'an","Kangding","Lhasa","Chamdo","Dali"]	["Tang Dynasty","Song Dynasty","Tibetan Empire"]	["cmn","bod","nan"]	Ancient network of caravan paths through mountainous terrain linking tea-producing regions of Yunnan and Sichuan with Tibet, exchanging tea for Tibetan horses	One of the world's highest and most treacherous trade routes; tea became essential to Tibetan diet and culture; horse-tea exchange shaped Sino-Tibetan relations for centuries
tr-017	Volga Trade Route	river	{"type":"LineString","coordinates":[[30.32,59.93],[31,58],[33,57],[36,56],[38,55],[40,54],[43,52],[46,49],[48,47],[49,46],[50,45],[51,44],[52,42]]}	700	1100	["tg-031","tg-006","tg-007","tg-030","tg-010"]	["Novgorod","Bulgar","Itil","Staraya Ladoga"]	["Volga Bulgars","Khazar Khaganate","Varangians"]	["non","rus","arb","chv"]	River-based trade route along the Volga connecting Scandinavia with the Caspian Sea and Islamic world, carrying furs and slaves southward and silver northward	Khazar and Bulgar cities became wealthy trading hubs; enormous hoards of Islamic dirhams found in Scandinavia attest to volume of trade; key conduit between Norse and Islamic worlds
tr-018	Lapis Lazuli Route	land	{"type":"LineString","coordinates":[[70.81,36.72],[68,35],[65,34],[62,33],[58,33],[55,32],[51,33],[48,34],[45,35],[42,36],[38,37],[35,34],[33,31],[31,30]]}	-7000	-500	["tg-023","tg-011"]	["Badakhshan","Balkh","Ecbatana","Susa","Babylon","Ur","Memphis"]	["Mesopotamian kingdoms","Egyptian dynasties","Persian Empire"]	["fas","arb","akk","egy"]	One of the oldest known long-distance trade routes, carrying lapis lazuli from Afghanistan's Badakhshan mines to Mesopotamia and Egypt	Evidence of this route found in Sumerian royal tombs (3rd millennium BCE); lapis lazuli in Egyptian tombs proves 5000+ years of continuous trade; among the earliest evidence of international commerce
